Site ID,Location,Number of private cycles,Number of cycle hire bikes,Total cycles,Easting,Northing,lat,lng,geometry,LSOA11CD,LSOA11NM,accounting,airport,amusement park,aquarium,art gallery,atm,bakery,bank,bar,beauty salon,bicycle store,book store,bowling alley,bus station,cafe,campground,car dealer,car rental,car repair,car wash,casino,cemetery,church,city hall,clothing store,convenience store,courthouse,dentist,department store,doctor,drugstore,electrician,electronics store,embassy,fire station,florist,funeral home,furniture store,gas station,gym,hair care,hardware store,hindu temple,home goods store,hospital,insurance agency,jewelry store,laundry,lawyer,library,light rail station,liquor store,local government office,locksmith,lodging,meal delivery,meal takeaway,mosque,movie rental,movie theater,moving company,museum,night club,painter,park,parking,pet store,pharmacy,physiotherapist,plumber,police,post office,primary school,real estate agency,restaurant,roofing contractor,rv park,school,secondary school,shoe store,shopping mall,spa,stadium,storage,store,subway station,supermarket,synagogue,taxi stand,tourist attraction,train station,transit station,travel agency,university,veterinary care,zoo,person,bicycle,car,motorcycle,bus,train,truck,traffic light,fire hydrant,stop sign,parking meter,bench,dog
INNCY224,Aboyne Road,176.0,0.0,176.0,526607.5222,172386.2842,51.43633609,-0.17993086,POINT (-0.179930860088525 51.43633608597722),E01004491,Wandsworth 031B,6,,,,,,,5,5,,,,,31,,,,,,,,,,0,,,,,,,,,,,,,,,,3,,,,,,,,4,,,,,,,,,,,,0,,1,0,,3,1,,,,,,,,,15,,,9,,,0,,,,,,6,,,,3,33,,0,,,,,,,,,,,,,,7.0,
INNCY225,Beaufort Street,793.5,104.5,898.0,526732.8471,177787.3881,51.48484766,-0.176194867,POINT (-0.1761948673132653 51.48484765557774),E01002911,Kensington and Chelsea 019D,6,,,,,,,5,18,,,,,32,,,,,,,,,,2,,,,,,,,,,,,,,,,8,,,,,,,,7,,,,,,,,,,,,3,,3,4,,6,6,,,,,,,,,53,,,15,,,1,,,,,,11,,,,0,40,,0,,,2.0,,7.0,,,,1.0,2.0,,,,,
INNCY226,Plough Road,528.5,26.0,554.5,526772.9923,175419.7659,51.46356098,-0.17646572,POINT (-0.1764657195044744 51.4635609772236),E01004537,Wandsworth 007B,0,,,,,,,10,12,,,,,48,,,,,,,,,,0,,,,,,,,,,,,,,,,12,,,,,,,,3,,,,,,,,,,,,0,,1,0,,5,5,,,,,,,,,20,,,11,,,1,,,,,,10,,,,2,52,,1,,,1.0,,1.0,,1.0,,,,,,,,
INNCY227,Elgin Avenue,165.0,1.0,166.0,525454.9616,182411.0046,51.52668466,-0.192945848,POINT (-0.1929458484621398 51.5266846628418),E01004708,Westminster 006D,7,,,,,,,0,2,,,,,29,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,5,,,,,,,,,,,,0,,0,0,,5,3,,,,,,,,,25,,,23,,,0,,,,,,11,,,,2,35,,0,,,2.0,,37.0,,1.0,,2.0,1.0,,1.0,,,
INNCY228,Salusbury Road,107.5,2.5,110.0,524305.732,183872.6962,51.54007481,-0.208987862,POINT (-0.2089878615259363 51.54007480724427),E01000580,Brent 032B,9,,,,,,,7,9,,,,,13,,,,,,,,,,0,,,,,,,,,,,,,,,,5,,,,,,,,2,,,,,,,,,,,,0,,0,1,,6,1,,,,,,,,,32,,,10,,,1,,,,,,8,,,,6,16,,0,,,12.0,,11.0,,,,,3.0,,,,,
INNCY229,Ebury Bridge,296.5,88.5,385.0,528623.9838,178439.6514,51.49028288,-0.148736624,POINT (-0.148736623707943 51.49028287579838),E01004750,Westminster 023E,16,,,,,,,16,20,,,,,56,,,,,,,,,,0,,,,,,,,,,,,,,,,4,,,,,,,,8,,,,,,,,,,,,1,,1,1,,7,15,,,,,,,,,53,,,20,,,4,,,,,,13,,,,4,57,,1,,,5.0,8.0,2.0,,1.0,,,,,,,,
INNCY230,Prince of Wales Road,713.0,12.0,725.0,528615.4667,184685.4236,51.5464139,-0.146582004,POINT (-0.1465820042549668 51.546413901528894),E01000927,Camden 007F,19,,,,,,,4,25,,,,,39,,,,,,,,,,0,,,,,,,,,,,,,,,,3,,,,,,,,5,,,,,,,,,,,,1,,1,3,,4,12,,,,,,,,,60,,,13,,,7,,,,,,16,,,,4,40,,1,,,,,16.0,,,,,,,,,,
INNCY231,Hazellville Road,137.0,8.5,145.5,530002.5333,187302.8344,51.56961789,-0.125623224,POINT (-0.1256232243607936 51.569617890646605),E01002758,Islington 001C,4,,,,,,,6,5,,,,,36,,,,,,,,,,0,,,,,,,,,,,,,,,,4,,,,,,,,7,,,,,,,,,,,,0,,0,3,,9,4,,,,,,,,,20,,,16,,,0,,,,,,17,,,,2,40,,1,,,,,35.0,,,,,,,,,,
INNCY232,Riversdale Road,597.5,17.0,614.5,532319.9479,186331.2325,51.56034815,-0.092571083,POINT (-0.0925710830686089 51.560348146598365),E01002741,Islington 009B,3,,,,,,,3,8,,,,,33,,,,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,4,,,,,,,,,,,,0,,0,0,,3,4,,,,,,,,,28,,,15,,,0,,,,,,10,,,,0,36,,0,,,2.0,,40.0,,,,,,,,,,
INNCY233,Wapping Lane,82.0,28.0,110.0,534827.8564,180557.1453,51.50786745,-0.058623616,POINT (-0.0586236156537796 51.50786744538471),E01004296,Tower Hamlets 026D,3,,,,,,,3,5,,,,,20,,,,,,,,,,0,,,,,,,,,,,,,,,,9,,,,,,,,5,,,,,,,,,,,,1,,3,1,,9,11,,,,,,,,,16,,,17,,,3,,,,,,11,,,,2,32,,0,,,11.0,,18.0,,1.0,,,,,,,,
INNCY234,St. James's Road,274.5,0.0,274.5,534354.8702,179285.9092,51.49655625,-0.065918552,POINT (-0.0659185517073981 51.496556246005966),E01004022,Southwark 004C,5,,,,,,,5,8,,,,,31,,,,,,,,,,2,,,,,,,,,,,,,,,,5,,,,,,,,5,,,,,,,,,,,,0,,2,0,,5,9,,,,,,,,,17,,,13,,,0,,,,,,15,,,,2,34,,0,,,6.0,,11.0,,,,,,,,,,
INNCY235,Leigham Court Road,245.0,0.0,245.0,530349.1144,172579.6089,51.43722574,-0.12606125,POINT (-0.126061249542404 51.43722574020422),E01003151,Lambeth 026E,6,,,,,,,10,10,,,,,32,,,,,,,,,,0,,,,,,,,,,,,,,,,4,,,,,,,,3,,,,,,,,,,,,1,,0,1,,2,15,,,,,,,,,33,,,11,,,0,,,,,,14,,,,1,39,,1,,,,,2.0,,,,,,,,,,
INNCY236,Asylum Road,279.5,1.0,280.5,534935.2235,177128.8167,51.47703383,-0.058386969,POINT (-0.058386969342228 51.47703383274739),E01004003,Southwark 023B,5,,,,,,,4,8,,,,,36,,,,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,3,,,,,,,,,,,,1,,1,1,,5,2,,,,,,,,,27,,,11,,,1,,,,,,10,,,,1,36,,0,,,1.0,,19.0,,,,,,,,,,
