Location,Number of private cycles,Number of cycle hire bikes,Total cycles,lat,lng,geometry,LSOA11CD,LSOA11NM,accounting,airport,amusement park,aquarium,art gallery,atm,bakery,bank,bar,beauty salon,bicycle store,book store,bowling alley,bus station,cafe,campground,car dealer,car rental,car repair,car wash,casino,cemetery,church,city hall,clothing store,convenience store,courthouse,dentist,department store,doctor,drugstore,electrician,electronics store,embassy,fire station,florist,funeral home,furniture store,gas station,gym,hair care,hardware store,hindu temple,home goods store,hospital,insurance agency,jewelry store,laundry,lawyer,library,light rail station,liquor store,local government office,locksmith,lodging,meal delivery,meal takeaway,mosque,movie rental,movie theater,moving company,museum,night club,painter,park,parking,pet store,pharmacy,physiotherapist,plumber,police,post office,primary school,real estate agency,restaurant,roofing contractor,rv park,school,secondary school,shoe store,shopping mall,spa,stadium,storage,store,subway station,supermarket,synagogue,taxi stand,tourist attraction,train station,transit station,travel agency,university,veterinary care,zoo,person,bicycle,car,motorcycle,bus,train,truck,traffic light,fire hydrant,stop sign,parking meter,bench,dog
Saffron Hill,115.625,16.25,133.125,51.5202348,-0.1066583,POINT (-0.1066583 51.5202348),E01000916,Camden 027B,54,2,0,0,14,23,10,18,29,,,,,37,,,,,,,,,,11,,,,,,,,,,3,,,,,,12,,,,,2,,,5,,,,,,,,,,,,0,,13,7,,10,25,,,,,1,,,,40,,,15,,,5,,0,,,8,16,,,,4,51,,9,,0,,,4.0,,,,,,,,,,
Shaftesbury Avenue,966.75,109.0,1075.75,51.5129024,-0.1296748,POINT (-0.1296748 51.5129024),E01004734,Westminster 018A,60,1,1,1,53,22,36,38,60,,,,,38,,,,,,,,,,1,,,,,,,,,,16,,,,,,27,,,,,0,,,6,,,,,,,,,,,,28,,8,40,,9,35,,,,,4,,,,60,,,20,,,19,,1,,,6,26,,,,6,50,,4,,0,19.0,,6.0,1.0,,,1.0,,,,,,
Sidmouth Square,1727.75,218.75,1946.5,51.5270748,-0.1192081,POINT (-0.1192081 51.5270748),E01000940,Camden 024D,23,0,1,0,12,13,7,10,18,,,,,32,,,,,,,,,,2,,,,,,,,,,2,,,,,,5,,,,,4,,,9,,,,,,,,,,,,2,,5,2,,10,25,,,,,3,,,,60,,,13,,,3,,0,,,4,15,,,,7,46,,6,,0,,,14.0,,,,,,,,,,
Snow Hill / West Smithfield,1082.875,188.25,1271.125,51.5172273,-0.1028864,POINT (-0.1028864 51.5172273),E01032740,City of London 001G,0,0,0,0,14,18,9,32,50,,,,,31,,,,,,,,,,17,,,,,,,,,,3,,,,,,15,,,,,0,,,4,,,,,,,,,,,,2,,8,7,,8,19,,,,,1,,,,60,,,14,,,5,,0,,,10,18,,,,7,50,,8,,0,6.0,,2.0,1.0,,,,,,1.0,,,
Southampton Row,716.25,89.625,805.875,51.519616,-0.1218432,POINT (-0.1218432 51.519616),E01000914,Camden 028B,38,1,0,1,30,12,14,14,39,,,,,40,,,,,,,,,,1,,,,,,,,,,5,,,,,,10,,,,,4,,,7,,,,,,,,,,,,11,,12,9,,12,25,,,,,2,,,,60,,,31,,,9,,0,,,6,15,,,,1,47,,11,,0,9.0,,15.0,,2.0,,1.0,1.0,,,,,
Southwark Bridge,2045.5,287.0,2332.5,51.5089007,-0.0940731,POINT (-0.0940731 51.5089007),0,0,36,1,1,2,14,18,15,55,60,,,,,37,,,,,,,,,,13,,,,,,,,,,1,,,,,,26,,,,,1,,,0,,,,,,,,,,,,3,,7,4,,5,12,,,,,0,,,,60,,,7,,,6,,0,,,9,26,,,,8,53,,2,,0,,,1.0,,1.0,,,,,,,,
Southwark Bridge Road,1198.375,111.75,1310.125,51.5027941,-0.0967048,POINT (-0.0967048 51.5027941),E01003927,Southwark 002A,15,1,1,0,17,20,13,12,34,,,,,36,,,,,,,,,,1,,,,,,,,,,1,,,,,,16,,,,,1,,,6,,,,,,,,,,,,3,,6,2,,8,14,,,,,1,,,,60,,,19,,,1,,0,,,4,18,,,,2,36,,4,,0,,,6.0,,,,,,,,,,
Southwark Bridge Road (North) between Flat Iron Square and America Street,1450.5,136.875,1587.375,51.5046234,-0.0933825,POINT (-0.0933825 51.5046234),E01003929,Southwark 002B,16,1,1,2,18,13,15,14,40,,,,,36,,,,,,,,,,0,,,,,,,,,,1,,,,,,16,,,,,1,,,3,,,,,,,,,,,,3,,6,2,,7,14,,,,,1,,,,60,,,15,,,1,,0,,,5,18,,,,6,31,,3,,0,5.0,,3.0,,1.0,,,,,,,,
Southwark Bridge Road (South),1174.833333,90.5,1265.333333,51.5028112,-0.0966187,POINT (-0.0966187 51.5028112),E01003927,Southwark 002A,16,1,1,0,17,20,13,12,33,,,,,35,,,,,,,,,,1,,,,,,,,,,1,,,,,,16,,,,,1,,,6,,,,,,,,,,,,3,,6,2,,8,14,,,,,1,,,,60,,,19,,,1,,0,,,4,19,,,,2,37,,4,,0,,,6.0,,,,,,,,,,
Southwark Street,1262.25,260.4375,1522.6875,51.5051617,-0.0973004,POINT (-0.0973004 51.5051617),E01003927,Southwark 002A,17,1,1,0,17,18,13,15,37,,,,,32,,,,,,,,,,5,,,,,,,,,,1,,,,,,16,,,,,0,,,6,,,,,,,,,,,,4,,5,3,,6,16,,,,,1,,,,60,,,15,,,1,,0,,,8,17,,,,5,28,,2,,0,35.0,7.0,11.0,1.0,,,1.0,2.0,,,,,
St. George's Road,1076.0,60.25,1136.25,51.4964458,-0.1057214,POINT (-0.1057214 51.4964458),E01003933,Southwark 034C,11,0,1,0,0,15,6,4,13,,,,,34,,,,,,,,,,1,,,,,,,,,,0,,,,,,12,,,,,0,,,8,,,,,,,,,,,,0,,3,1,,10,15,,,,,2,,,,50,,,26,,,3,,0,,,4,19,,,,6,36,,3,,0,1.0,,5.0,,,,,,,,,,
St. John Street,781.625,64.75,847.25,51.5258278,-0.1040182,POINT (-0.1040182 51.5258278),E01033489,Islington 022G,33,2,0,0,17,12,9,6,25,,,,,48,,,,,,,,,,0,,,,,,,,,,2,,,,,,9,,,,,0,,,10,,,,,,,,,,,,1,,4,6,,13,19,,,,,0,,,,58,,,19,,,5,,0,,,5,14,,,,4,51,,7,,0,7.0,,8.0,,,,,2.0,1.0,,,,
Stamford Street,864.125,298.875,1169.25,51.5066819,-0.1088479,POINT (-0.1088479 51.5066819),E01003017,Lambeth 036D,8,1,0,1,16,5,9,6,35,,,,,30,,,,,,,,,,1,,,,,,,,,,0,,,,,,11,,,,,1,,,4,,,,,,,,,,,,7,,4,4,,3,15,,,,,0,,,,60,,,11,,,4,,0,,,6,15,,,,8,35,,3,,0,5.0,,18.0,,,,,,2.0,,,,
Strand,1181.5,215.0,1396.5,51.5112079,-0.1193447,POINT (-0.1193447 51.5112079),E01004735,Westminster 018B,31,2,0,1,34,15,18,19,59,,,,,36,,,,,,,,,,2,,,,,,,,,,9,,,,,,13,,,,,0,,,3,,,,,,,,,,,,12,,12,9,,3,19,,,,,1,,,,60,,,0,,,12,,0,,,0,11,,,,5,36,,3,,0,14.0,1.0,27.0,,,,4.0,5.0,,,,,
Strand (west),741.5,134.375,875.875,51.5112079,-0.1193447,POINT (-0.1193447 51.5112079),E01004735,Westminster 018B,31,2,0,1,34,15,18,19,59,,,,,36,,,,,,,,,,2,,,,,,,,,,9,,,,,,13,,,,,0,,,3,,,,,,,,,,,,12,,12,9,,3,19,,,,,1,,,,60,,,0,,,12,,0,,,0,11,,,,5,36,,3,,0,14.0,13.0,2.0,,,,,,,,,,
Sumner Steet,332.625,121.0,453.625,51.5066102,-0.0979001,POINT (-0.0979001 51.5066102),E01003935,Southwark 002D,18,1,0,0,16,17,14,20,36,,,,,31,,,,,,,,,,7,,,,,,,,,,1,,,,,,17,,,,,0,,,4,,,,,,,,,,,,4,,5,4,,5,14,,,,,0,,,,0,,,0,,,2,,0,,,7,20,,,,6,33,,2,,0,8.0,,11.0,,,,2.0,,,,,,
Tavistock Square (A4200),668.0,83.5,751.5,51.5247015,-0.1278799,POINT (-0.1278799 51.5247015),E01000852,Camden 026C,27,0,0,0,19,11,0,15,25,,,,,32,,,,,,,,,,1,,,,,,,,,,3,,,,,,9,,,,,4,,,7,,,,,,,,,,,,5,,11,2,,11,19,,,,,4,,,,60,,,13,,,5,,1,,,9,18,,,,8,37,,10,,0,31.0,1.0,6.0,3.0,1.0,,2.0,8.0,,,,,
Temple,4564.25,627.75,5204.5,51.511287,-0.113685,POINT (-0.113685 51.511287),E01004735,Westminster 018B,39,2,0,1,16,14,9,15,39,,,,,17,,,,,,,,,,5,,,,,,,,,,5,,,,,,10,,,,,0,,,2,,,,,,,,,,,,8,,10,7,,3,15,,,,,0,,,,60,,,14,,,7,,0,,,6,9,,,,5,31,,3,,0,,,,,,,,,,,,,
Temple Avenue,729.375,107.25,836.625,51.5118888,-0.1079905,POINT (-0.1079905 51.5118888),E01032740,City of London 001G,33,2,0,0,15,9,8,17,33,,,,,13,,,,,,,,,,8,,,,,,,,,,3,,,,,,11,,,,,0,,,1,,,,,,,,,,,,4,,8,4,,5,12,,,,,1,,,,0,,,8,,,4,,0,,,5,13,,,,6,20,,4,,0,7.0,,8.0,1.0,,,,,,,,,
Temple Place,166.75,25.625,192.375,51.5112898,-0.1136897,POINT (-0.1136897 51.5112898),E01004735,Westminster 018B,39,2,0,1,16,14,9,15,0,,,,,17,,,,,,,,,,5,,,,,,,,,,5,,,,,,10,,,,,0,,,2,,,,,,,,,,,,8,,10,7,,3,15,,,,,0,,,,60,,,14,,,7,,0,,,6,9,,,,5,31,,3,,0,6.0,,20.0,,,,,,,,,,
The Cut,1030.25,148.75,1179.0,51.5030591,-0.1073371,POINT (-0.1073371 51.5030591),E01003017,Lambeth 036D,9,1,0,0,16,9,11,6,28,,,,,37,,,,,,,,,,0,,,,,,,,,,1,,,,,,14,,,,,0,,,5,,,,,,,,,,,,5,,1,2,,5,19,,,,,1,,,,60,,,15,,,2,,0,,,5,22,,,,6,45,,4,,0,,,,,,,,,,,,,
